filename,pose,type,index,text
centering_transition.m4a,Centering Breath,transition,,"Come to a comfortable seat, close your eyes, and begin to breathe..."
centering_01.m4a,Centering Breath,narration,0,"Find a comfortable seated position, close your eyes..."
centering_02.m4a,Centering Breath,narration,1,"Take a deep breath in through your nose... and slowly exhale through your mouth..."
centering_03.m4a,Centering Breath,narration,2,"Begin to let your breath find its own natural rhythm..."
centering_04.m4a,Centering Breath,narration,3,"With each inhale, feel your body expanding... with each exhale, feel yourself settling..."
centering_05.m4a,Centering Breath,narration,4,"Set an intention for your practice today... something simple and honest..."
centering_06.m4a,Centering Breath,narration,5,"Let that intention rest gently in your heart as we begin..."
warrior-i_transition.m4a,Warrior I,transition,,"From Downward Dog, step your right foot forward between your hands..."
warrior-i_01.m4a,Warrior I,narration,0,"Step your right foot forward between your hands, back foot angled at forty-five degrees..."
warrior-i_02.m4a,Warrior I,narration,1,"Rise up, sweep your arms overhead, palms facing each other..."
warrior-i_03.m4a,Warrior I,narration,2,"Sink your front knee over your ankle, feel the stretch through your back hip..."
warrior-i_04.m4a,Warrior I,narration,3,"Breathe deeply... inhale, lengthen your spine... exhale, ground through your back foot..."
warrior-i_05.m4a,Warrior I,narration,4,"With each exhale, let your hips settle a little lower... feel strong and rooted..."
warrior-ii_transition.m4a,Warrior II,transition,,"Open your hips and arms wide to the side..."
warrior-ii_01.m4a,Warrior II,narration,0,"Open your hips to the side, extend your arms wide, parallel to the earth..."
warrior-ii_02.m4a,Warrior II,narration,1,"Bend your front knee directly over your ankle, gaze past your front fingertips..."
warrior-ii_03.m4a,Warrior II,narration,2,"Feel the strength in your legs, the openness across your chest..."
warrior-ii_04.m4a,Warrior II,narration,3,"Breathe here... let your shoulders soften away from your ears..."
warrior-ii_05.m4a,Warrior II,narration,4,"Inhale, grow taller through the crown of your head... exhale, sink deeper into the pose..."
warrior-iii_transition.m4a,Warrior III,transition,,"From standing, shift your weight forward and begin to lift your back leg..."
warrior-iii_01.m4a,Warrior III,narration,0,"Shift your weight onto your front foot, begin to tip forward from your hips..."
warrior-iii_02.m4a,Warrior III,narration,1,"Extend your back leg behind you, reaching through your heel..."
warrior-iii_03.m4a,Warrior III,narration,2,"Your body forms one long line from fingertips to back foot..."
warrior-iii_04.m4a,Warrior III,narration,3,"Find a steady point to gaze at, breathe slowly and evenly..."
warrior-iii_05.m4a,Warrior III,narration,4,"With each breath, feel yourself getting longer, lighter, more balanced..."
triangle_transition.m4a,Triangle,transition,,"Straighten your front leg and reach forward over your front foot..."
triangle_01.m4a,Triangle,narration,0,"Straighten your front leg, reach forward and then down, placing your hand on your shin or the floor..."
triangle_02.m4a,Triangle,narration,1,"Extend your top arm straight up, opening your chest toward the ceiling..."
triangle_03.m4a,Triangle,narration,2,"Lengthen through both sides of your waist equally..."
triangle_04.m4a,Triangle,narration,3,"Breathe into the side body... feel the stretch from your back heel to your top fingertips..."
triangle_05.m4a,Triangle,narration,4,"Gaze up toward your top hand if your neck allows, or look straight ahead..."
